datetime,price,quantity,venue
2020-07-01 06:41:50:813,363.37,2,XNGS
2020-07-01 06:42:12:387,363.37,100,XNGS
2020-07-01 06:42:58:380,363.37,100,XNGS
2020-07-01 06:43:05:146,363.21,1,XNGS
2020-07-01 06:43:05:146,363.08,2,XNGS
2020-07-01 06:43:13:673,363.11,1,XNGS
2020-07-01 06:43:13:673,363.11,149,ARCX
2020-07-01 06:43:13:674,363.11,49,ARCX
2020-07-01 06:43:13:738,363.11,1,ARCX
2020-07-01 06:44:42:808,363.21,1,XNGS
2020-07-01 06:44:42:808,363.23,4,XNGS
2020-07-01 06:44:43:730,363.11,29,ARCX
2020-07-01 06:44:53:197,363.11,1,XNGS
2020-07-01 06:45:02:952,363.01,1,XNGS
2020-07-01 06:45:02:952,363,10,XNGS
2020-07-01 06:45:02:952,363,10,XNGS
2020-07-01 06:45:02:952,363,10,XNGS
2020-07-01 06:45:02:952,362.71,9,XNGS
2020-07-01 06:45:02:952,362.7,50,XNGS
2020-07-01 06:45:02:952,362.67,12,XNGS
2020-07-01 06:45:02:953,363.09,70,ARCX
2020-07-01 06:45:02:953,363.08,100,ARCX
2020-07-01 06:45:02:953,363,15,ARCX
2020-07-01 06:45:02:953,363,15,ARCX
2020-07-01 06:45:04:276,363.02,100,XNGS
2020-07-01 06:45:05:735,363.02,200,XNGS
2020-07-01 06:45:55:030,363.04,10,XNGS
2020-07-01 06:47:24:805,363.08,50,XNGS
2020-07-01 06:47:24:805,363.1,50,XNGS
2020-07-01 06:47:54:967,363.03,8,ARCX
2020-07-01 06:48:12:465,363.11,1,XNGS
2020-07-01 06:48:22:330,363.23,100,ARCX
2020-07-01 06:50:33:860,363.03,150,ARCX
2020-07-01 06:51:03:754,363.04,10,ARCX
2020-07-01 06:51:03:754,363.03,342,ARCX
2020-07-01 06:51:07:246,363.03,100,ARCX
2020-07-01 06:51:07:246,363.03,100,ARCX
2020-07-01 06:51:08:793,363.03,100,ARCX
2020-07-01 06:51:08:793,363.03,100,ARCX
2020-07-01 06:51:28:520,363.03,100,ARCX
2020-07-01 06:51:28:520,363.03,200,ARCX
2020-07-01 06:51:45:084,363.03,15,XNGS
2020-07-01 06:51:45:084,363.03,15,XNGS
2020-07-01 06:51:45:084,363.03,70,XNGS
2020-07-01 06:51:45:736,363.03,100,ARCX
2020-07-01 06:51:45:736,363.03,200,ARCX
2020-07-01 06:51:46:345,363.03,48,ARCX
2020-07-01 06:52:54:174,363.04,70,XNGS
2020-07-01 06:52:54:174,363.04,20,XNGS
2020-07-01 06:52:54:174,363.03,100,XNGS
2020-07-01 06:52:56:810,363.02,100,XNGS
2020-07-01 06:52:58:910,363,6,ARCX
2020-07-01 06:52:58:980,363,79,ARCX
2020-07-01 06:52:58:980,363,21,ARCX
2020-07-01 06:52:59:669,363,79,ARCX
2020-07-01 06:52:59:669,363,100,ARCX
2020-07-01 06:52:59:669,363,21,ARCX
2020-07-01 06:52:59:669,363.01,1,XNGS
2020-07-01 06:52:59:670,363,100,ARCX
2020-07-01 06:52:59:670,363,48,ARCX
2020-07-01 06:52:59:760,363,100,ARCX
2020-07-01 06:52:59:760,363,10,ARCX
2020-07-01 06:53:00:569,363,50,ARCX
2020-07-01 06:53:00:687,363,5,ARCX
2020-07-01 06:53:00:688,363,45,ARCX
2020-07-01 06:53:00:688,363,50,ARCX
